,class_b_arms_spread_down,class_b_arms_spread_up,class_b_correct_down,class_b_correct_up,class_b_excessive_arch_down,class_b_excessive_arch_up
left_elbow_angle,0.34341955334989394,0.017688063848813218,0.1554288794658861,-0.022922688530432608,-0.09157073682040576,-0.40096631151551826
right_elbow_angle,-0.001694641254192887,-0.06600491195900444,0.1421252520993106,0.14167092726818614,-0.12280526625242781,-0.07522136301377769
left_shoulder_angle,-0.22580179153429766,-0.08007025839987388,-0.202873646721613,-0.08306949655170956,0.15363289285569343,0.4195144148289974
right_shoulder_angle,0.18322063757294715,0.2390872073654396,0.006336126593926131,0.1491839342280185,-0.38737166508154103,-0.17256270203560145
left_knee_angle,-0.09990303161928325,0.1578397428009379,-0.1680514890528834,0.20128805766525584,-0.227864369086819,0.15202337659986886
right_knee_angle,0.1588581392744824,0.30526531026438497,-0.12392399797323235,0.06816926265118083,-0.1502703326961101,-0.24953249653728313
left_elbow_flare,-0.2639947049791187,-0.08208022874417861,0.018466507002476852,0.22136322034579223,-0.01749780628042237,0.14715070938915834
right_elbow_flare,-0.3503482373672807,-0.03864513402321683,-0.11403809816204974,0.1959413707712668,0.043117059703743146,0.2809575655609608
left_wrist_stack_diff,0.07900694845394127,-0.08956079486180696,0.12696745378402516,-0.05106799489986515,0.13840965201708091,-0.2045287374858264
right_wrist_stack_diff,-0.12110882464901988,0.018588231593172227,0.026735189107534113,0.20885896613249358,-0.038800139660919344,-0.06958775214499321
shoulder_diff_3d,0.02950223376936543,-0.0041534246826364935,-0.026912322192133947,0.2063512118192686,-0.14729522958394237,-0.041659078095986214
elbow_angle_asym,0.1814931069707001,0.006100360176425392,-0.08811700442586706,-0.17098738256746188,0.10139586418441782,-0.05374610568651735
shoulder_angle_asym,0.24154340594889215,0.21981203055953885,0.0502974525576369,0.13227591991520918,-0.33428366130689263,-0.29185906957839763
